<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.20	08:00:00	102080.56	102233.74	101999.92	102098.37	14399	0	80
2025.07.20	12:00:00	102098.32	102243.20	102052.07	102173.43	14400	0	80
2025.07.20	16:00:00	102173.38	102274.54	102105.86	102112.96	14400	0	80
2025.07.20	20:00:00	102112.91	102452.33	102099.76	102402.83	14400	0	80
2025.07.21	00:00:00	102402.78	102442.03	102298.52	102395.52	14400	0	80
2025.07.21	04:00:00	102395.47	102531.02	102293.16	102293.16	14400	0	80
2025.07.21	08:00:00	102293.11	102517.99	102244.00	102429.69	14400	0	80
2025.07.21	12:00:00	102429.64	102667.31	102373.23	102633.49	14400	0	80
2025.07.21	16:00:00	102633.44	102745.21	102591.02	102606.75	14400	0	80
2025.07.21	20:00:00	102606.70	102808.52	102540.54	102540.54	14399	0	80
2025.07.22	00:00:00	102540.49	102651.53	102458.08	102516.46	14400	0	80
2025.07.22	04:00:00	102516.41	102568.16	102336.24	102555.31	14401	0	80
2025.07.22	08:00:00	102555.26	102798.73	102510.18	102766.93	14400	0	80
2025.07.22	12:00:00	102766.88	102766.88	102498.14	102498.14	14400	0	80
2025.07.22	16:00:00	102498.09	102572.25	102425.73	102493.67	14400	0	80
2025.07.22	20:00:00	102493.62	102516.23	102310.66	102310.66	14400	0	80
2025.07.23	00:00:00	102310.61	102383.28	102122.16	102161.62	14400	0	80
2025.07.23	04:00:00	102161.57	102262.39	102106.97	102242.59	14400	0	80
2025.07.23	08:00:00	102242.54	102286.18	102089.40	102089.40	14400	0	80
2025.07.23	12:00:00	102089.35	102414.79	102023.89	102379.27	14400	0	80
2025.07.23	16:00:00	102379.22	102563.55	102330.57	102346.35	14400	0	80
2025.07.23	20:00:00	102346.30	102396.73	102103.53	102165.20	14400	0	80
2025.07.24	00:00:00	102165.15	102205.29	102050.63	102153.65	14400	0	80
2025.07.24	04:00:00	102153.60	102337.71	102152.50	102261.88	14400	0	80
2025.07.24	08:00:00	102261.83	102388.46	102200.53	102380.96	14400	0	80
2025.07.24	12:00:00	102380.91	102509.12	102321.84	102327.86	14400	0	80
2025.07.24	16:00:00	102327.81	102327.81	102129.25	102208.14	14400	0	80
2025.07.24	20:00:00	102208.09	102363.34	102199.19	102296.52	14400	0	80
2025.07.25	00:00:00	102296.47	102363.36	102068.30	102250.88	14400	0	80
2025.07.25	04:00:00	102250.83	102267.88	102102.57	102204.06	14400	0	80
2025.07.25	08:00:00	102204.01	102252.85	102110.42	102143.39	14400	0	80
2025.07.25	12:00:00	102143.34	102162.89	101926.40	101975.46	14400	0	80
2025.07.25	16:00:00	101975.41	102124.81	101884.09	102000.91	14400	0	80
2025.07.25	20:00:00	102000.86	102104.61	101828.83	101990.65	14400	0	80
2025.07.26	00:00:00	101990.60	102046.47	101874.56	101917.55	14400	0	80
2025.07.26	04:00:00	101917.50	101947.56	101821.57	101873.23	14400	0	80
2025.07.26	08:00:00	101873.18	101922.33	101736.38	101794.24	14400	0	80
2025.07.26	12:00:00	101794.19	101871.95	101713.38	101834.42	14400	0	80
2025.07.26	16:00:00	101834.37	101982.83	101825.77	101926.65	14400	0	80
2025.07.26	20:00:00	101926.60	101986.71	101820.57	101939.36	14401	0	80
2025.07.27	00:00:00	101939.31	101970.81	101778.06	101796.87	14400	0	80
2025.07.27	04:00:00	101796.82	101844.48	101597.11	101661.40	14400	0	80
2025.07.27	08:00:00	101661.35	101946.22	101610.40	101936.77	14400	0	80
